source,target,aspect_intercell_source,aspect_intercell_target,category_intercell_source,category_intercell_target,category_source_intercell_source,category_source_intercell_target,consensus_direction,consensus_inhibition,consensus_score_intercell_source,consensus_score_intercell_target,consensus_stimulation,curation_effort,database_intercell_source,database_intercell_target,dip_url,entity_type_intercell_source,entity_type_intercell_target,is_inhibition,is_stimulation,n_primary_sources,n_references,n_sources,parent_intercell_source,parent_intercell_target,plasma_membrane_peripheral_intercell_source,plasma_membrane_peripheral_intercell_target,plasma_membrane_transmembrane_intercell_source,plasma_membrane_transmembrane_intercell_target,receiver_intercell_source,receiver_intercell_target,references,references_stripped,scope_intercell_source,scope_intercell_target,secreted_intercell_source,secreted_intercell_target,sources,transmitter_intercell_source,transmitter_intercell_target,type,uniprot_intercell_source,uniprot_intercell_target
NRP1,KDR,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,2,13,True,4,,,,protein,protein,False,True,3,4,3,ligand,receptor,False,False,True,True,False,True,CellChatDB:16633338;HPRD:11333271;HPRD:16763549;HPRD:17222790,11333271;16633338;16763549;17222790,generic,generic,True,True,CellChatDB;HPRD;Wang,True,False,post_translational,O14786,P35968
IGF1,TEK,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,14,14,True,1,iTALK;HGNC;CellPhoneDB;GO_Intercell;HPMR;Ramilowski2015;Guide2Pharma;DGIdb;LRdb;Baccin2019;OmniPath,,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,True,SIGNOR,True,False,post_translational,P05019,Q02763
HGF,TEK,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,12,14,True,1,,,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,True,SIGNOR,True,False,post_translational,P14210,Q02763
FGF1,TEK,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,13,14,True,1,,,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,True,SIGNOR,True,False,post_translational,P05230,Q02763
FGF2,TEK,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,13,14,True,1,,,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,True,SIGNOR,True,False,post_translational,P09038,Q02763
ANGPT1,TEK,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,10,14,True,37,,,,protein,protein,False,True,19,13,30,ligand,receptor,False,False,False,True,False,True,Baccin2019:12427764;Baccin2019:8980223;Baccin2019:8980224;Baccin2019:9723709;BioGRID:8980223;CellChatDB:20651738;CellTalkDB:8980223;HPMR:8980223;HPRD:12427764;HPRD:8980223;HPRD:8980224;HPRD:9723709;LRdb:12427764;LRdb:8980223;LRdb:8980224;LRdb:9723709;Lit-BM-17:12427764;Lit-BM-17:20708158;Lit-BM-17:8980223;Lit-BM-17:9204896;Lit-BM-17:9723709;ProtMapper:21858121;SIGNOR:17306385;SIGNOR:9204896;SignaLink3:12427764;SignaLink3:18988627;SignaLink3:20937382;SignaLink3:21071413;SignaLink3:23331499;SignaLink3:8980223;SignaLink3:8980224;SignaLink3:9204896;SignaLink3:9723709;connectomeDB2020:12427764;connectomeDB2020:8980223;connectomeDB2020:8980224;connectomeDB2020:9723709,12427764;17306385;18988627;20651738;20708158;20937382;21071413;21858121;23331499;8980223;8980224;9204896;9723709,generic,generic,True,True,Baccin2019;BioGRID;CellChatDB;CellPhoneDB;CellTalkDB;DLRP_talklr;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Lit-BM-17;ProtMapper;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;STRING_talklr;SignaLink3;Sparser_ProtMapper;Wang;connectomeDB2020;iTALK;talklr,True,False,post_translational,Q15389,Q02763
ANGPTL2,TEK,functional,functional,ligand,receptor,resource_specific,resource_specific,False,False,5,14,False,0,,,,protein,protein,False,False,1,,1,ligand,receptor,False,False,False,True,False,True,,,generic,generic,True,True,Kirouac2010,True,False,post_translational,Q9UKU9,Q02763
NOTCH1,NOTCH4,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,1,14,True,2,iTALK;HGNC;CellPhoneDB;GO_Intercell;Ramilowski2015;Guide2Pharma;DGIdb;LRdb;OmniPath,,,protein,protein,False,True,2,2,2,ligand,receptor,False,False,True,True,False,True,ACSN:22330899;ACSN:22363130,22330899;22363130,generic,generic,False,False,ACSN;Wang,True,False,post_translational,P46531,Q99466
JAG2,NOTCH4,functional,functional,ligand,receptor,resource_specific,resource_specific,True,True,8,14,True,4,Matrisome;iTALK;HGNC;CellPhoneDB;GO_Intercell;ICELLNET;Ramilowski2015;Guide2Pharma;DGIdb;OmniPath,,,protein,protein,True,True,10,1,12,ligand,receptor,False,False,True,True,False,True,CellChatDB:22353464;CellPhoneDB:22353464;CellTalkDB:22353464;connectomeDB2020:22353464,22353464,generic,generic,False,False,CellChatDB;CellPhoneDB;CellTalkDB;DLRP_talklr;EMBRACE;KEGG-MEDICUS;LRdb;UniProt_LRdb;Wang;connectomeDB2020;iTALK;talklr,True,False,post_translational,Q9Y219,Q99466
DLL1,NOTCH4,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,6,14,True,5,Matrisome;iTALK;HGNC;CellPhoneDB;GO_Intercell;ICELLNET;Ramilowski2015;Guide2Pharma;DGIdb;OmniPath,,,protein,protein,False,True,11,2,13,ligand,receptor,False,False,True,True,False,True,CellChatDB:22353464;CellPhoneDB:22353464;CellTalkDB:22353464;SIGNOR:16140393;connectomeDB2020:22353464,16140393;22353464,generic,generic,False,False,CellChatDB;CellPhoneDB;CellTalkDB;DLRP_talklr;EMBRACE;KEGG-MEDICUS;LRdb;SIGNOR;UniProt_LRdb;Wang;connectomeDB2020;iTALK;talklr,True,False,post_translational,O00548,Q99466
JAG1,NOTCH4,functional,functional,ligand,receptor,resource_specific,resource_specific,True,True,10,14,True,9,iTALK;EMBRACE;HGNC;GO_Intercell;HPMR;ICELLNET;Ramilowski2015;Kirouac2010;Guide2Pharma;DGIdb;LRdb;Baccin2019;OmniPath,,,protein,protein,True,True,13,4,17,ligand,receptor,False,False,True,True,False,True,ACSN:22330899;ACSN:22363130;CellChatDB:22353464;CellPhoneDB:22353464;CellTalkDB:24563863;LRdb:24563863;Ramilowski2015:24563863;connectomeDB2020:24563863;talklr:24563863,22330899;22353464;22363130;24563863,generic,generic,False,False,ACSN;Baccin2019;CellChatDB;CellPhoneDB;CellTalkDB;DLRP_talklr;EMBRACE;KEGG-MEDICUS;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;STRING_talklr;UniProt_LRdb;Wang;connectomeDB2020;iTALK;talklr,True,False,post_translational,P78504,Q99466
DLL4,NOTCH4,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,6,14,True,15,,,,protein,protein,False,True,16,8,24,ligand,receptor,False,False,True,True,False,True,Baccin2019:1621980212814940;CellChatDB:22353464;CellPhoneDB:22353464;CellTalkDB:16219802;HPMR:16219802;HPRD:12814948;LRdb:13;LRdb:16219802;NetPath:12814948;SignaLink3:10837027;SignaLink3:12814948;SignaLink3:18988627;SignaLink3:23331499;connectomeDB2020:12814948;connectomeDB2020:16219802,10837027;12814948;13;16219802;1621980212814940;18988627;22353464;23331499,generic,generic,False,False,Baccin2019;CellChatDB;CellPhoneDB;CellTalkDB;DLRP_talklr;EMBRACE;Fantom5_LRdb;HPMR;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;KEGG-MEDICUS;LRdb;NetPath;Ramilowski2015;Ramilowski2015_Baccin2019;SignaLink3;UniProt_LRdb;Wang;connectomeDB2020;iTALK;talklr,True,False,post_translational,Q9NR61,Q99466
NOTCH1,FLT4,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,1,15,True,0,iTALK;EMBRACE;Ramilowski2015;LRdb;Baccin2019;OmniPath,,,protein,protein,False,True,1,,1,ligand,receptor,False,False,True,True,False,True,,,generic,generic,False,True,Wang,True,False,post_translational,P46531,P35916
IGF1,FLT4,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,14,15,True,1,iTALK;HGNC;CellPhoneDB;GO_Intercell;HPMR;Ramilowski2015;Guide2Pharma;DGIdb;LRdb;OmniPath,,,protein,protein,False,True,2,1,2,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,True,SIGNOR;Wang,True,False,post_translational,P05019,P35916
HGF,FLT4,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,12,15,True,1,,,,protein,protein,False,True,2,1,2,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,True,SIGNOR;Wang,True,False,post_translational,P14210,P35916
FGF1,FLT4,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,13,15,True,1,,,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,True,SIGNOR,True,False,post_translational,P05230,P35916
FGF2,FLT4,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,13,15,True,1,,,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,True,SIGNOR,True,False,post_translational,P09038,P35916
ANGPT1,FLT4,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,10,15,True,1,,,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,True,SIGNOR,True,False,post_translational,Q15389,P35916
KDR,FLT4,functional,functional,ligand,receptor,resource_specific,resource_specific,False,False,1,15,False,5,,,,protein,protein,False,False,4,5,7,ligand,receptor,False,False,True,True,False,True,HPRD:15474514;IntAct:16530705;IntAct:20224550;IntAct:21130043;iPTMnet:12881528,12881528;15474514;16530705;20224550;21130043,generic,generic,True,True,HPRD;HPRD_MIMP;IntAct;MIMP;PhosphoSite_MIMP;iPTMnet;phosphoELM_MIMP,True,False,post_translational,P35968,P35916
JAG2,NOTCH1,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,8,13,True,14,Matrisome;iTALK;HGNC;CellPhoneDB;GO_Intercell;ICELLNET;Ramilowski2015;Guide2Pharma;DGIdb;OmniPath,,,protein,protein,True,True,17,8,26,ligand,receptor,False,False,True,True,False,True,Baccin2019:1100613311006130;CellChatDB:22353464;CellPhoneDB:22353464;CellTalkDB:22353464;HPRD:11006133;ICELLNET:16921404;LRdb:11006133;NetPath:11006133;SignaLink3:10958687;SignaLink3:11006133;SignaLink3:18988627;SignaLink3:21071413;SignaLink3:23331499;connectomeDB2020:11006133,10958687;11006133;1100613311006130;16921404;18988627;21071413;22353464;23331499,generic,generic,False,False,Baccin2019;CellChatDB;CellPhoneDB;CellTalkDB;DLRP_talklr;EMBRACE;Fantom5_LRdb;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;KEGG-MEDICUS;Kirouac2010;LRdb;NetPath;Ramilowski2015;Ramilowski2015_Baccin2019;STRING_talklr;SignaLink3;UniProt_LRdb;Wang;connectomeDB2020;iTALK;talklr,True,False,post_translational,Q9Y219,P46531
DLL1,NOTCH1,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,6,13,True,14,Matrisome;iTALK;HGNC;CellPhoneDB;GO_Intercell;ICELLNET;Ramilowski2015;Guide2Pharma;DGIdb;OmniPath,,,protein,protein,False,True,17,8,26,ligand,receptor,False,False,True,True,False,True,Baccin2019:1006133;Baccin2019:98194281;CellChatDB:22353464;CellPhoneDB:22353464;CellTalkDB:22353464;HPRD:11006133;LRdb:11;LRdb:9819428;NetPath:11006133;SIGNOR:16140393;SPIKE:11006133;SPIKE:17537801;connectomeDB2020:11006133;connectomeDB2020:9819428,1006133;11;11006133;16140393;17537801;22353464;9819428;98194281,generic,generic,False,False,Baccin2019;CellChatDB;CellPhoneDB;CellTalkDB;DLRP_talklr;EMBRACE;Fantom5_LRdb;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;KEGG-MEDICUS;Kirouac2010;LRdb;NetPath;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;SPIKE;STRING_talklr;UniProt_LRdb;Wang;connectomeDB2020;iTALK;talklr,True,False,post_translational,O00548,P46531
JAG1,NOTCH1,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,10,13,True,30,Matrisome;iTALK;EMBRACE;HGNC;CellPhoneDB;GO_Intercell;HPMR;ICELLNET;Ramilowski2015;Kirouac2010;Guide2Pharma;DGIdb;LRdb;Baccin2019;SignaLink_function;OmniPath,,http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=88348,protein,protein,True,True,24,18,33,ligand,receptor,False,False,True,True,False,True,ACSN:22330899;ACSN:22363130;Baccin2019:769772111006133;BioGRID:11006133;CellChatDB:22353464;CellPhoneDB:22353464;CellTalkDB:22353464;DIP:18660822;HPMR:7697721;HPRD:11006133;ICELLNET:16921404;IntAct:18660822;IntAct:23086448;LRdb:11;LRdb:7697721;Lit-BM-17:11006133;Lit-BM-17:18660822;Lit-BM-17:21820430;NetPath:11006133;SPIKE:11006133;SPIKE:16713569;SPIKE:17537801;SPIKE:18495817;SignaLink3:10958687;SignaLink3:11006133;SignaLink3:18988627;SignaLink3:21071413;SignaLink3:23331499;connectomeDB2020:11006133;connectomeDB2020:7697721,10958687;11;11006133;16713569;16921404;17537801;18495817;18660822;18988627;21071413;21820430;22330899;22353464;22363130;23086448;23331499;7697721;769772111006133,generic,generic,False,False,ACSN;Baccin2019;BioGRID;CellChatDB;CellPhoneDB;CellTalkDB;DIP;DLRP_talklr;EMBRACE;Fantom5_LRdb;HPMR;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;IntAct;KEGG-MEDICUS;Kirouac2010;LRdb;Lit-BM-17;NetPath;Ramilowski2015;Ramilowski2015_Baccin2019;SPIKE;STRING_talklr;SignaLink3;UniProt_LRdb;Wang;connectomeDB2020;iTALK;talklr,True,False,post_translational,P78504,P46531
DLL4,NOTCH1,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,6,13,True,21,,,,protein,protein,False,True,16,7,25,ligand,receptor,False,False,True,True,False,True,Baccin2019:10837024;Baccin2019:11739188;Baccin2019:16219802;CellChatDB:22353464;CellPhoneDB:22353464;CellTalkDB:22353464;HPRD:10837024;HPRD:11739188;LRdb:10837024;LRdb:11739188;LRdb:16219802;SIGNOR:10837024;SIGNOR:11739188;SIGNOR:16140393;SignaLink3:10837024;SignaLink3:11739188;SignaLink3:18988627;SignaLink3:23331499;connectomeDB2020:10837024;connectomeDB2020:11739188;connectomeDB2020:16219802,10837024;11739188;16140393;16219802;18988627;22353464;23331499,generic,generic,False,False,Baccin2019;CellChatDB;CellPhoneDB;CellTalkDB;DLRP_talklr;EMBRACE;Fantom5_LRdb;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;KEGG-MEDICUS;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;STRING_talklr;SignaLink3;UniProt_LRdb;Wang;Wojtowicz2020;connectomeDB2020;iTALK;talklr,True,False,post_translational,Q9NR61,P46531
JAG2,NOTCH2,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,8,13,True,14,Matrisome;iTALK;HGNC;CellPhoneDB;GO_Intercell;ICELLNET;Ramilowski2015;Guide2Pharma;DGIdb;OmniPath,,,protein,protein,True,True,16,6,23,ligand,receptor,False,False,True,True,False,True,Baccin2019:10958687;CellChatDB:22353464;CellPhoneDB:22353464;CellTalkDB:22353464;HPRD:10958687;ICELLNET:16921404;LRdb:10958687;NetPath:10958687;SIGNOR:10958687;SignaLink3:10958687;SignaLink3:18988627;SignaLink3:21071413;SignaLink3:23331499;connectomeDB2020:10958687,10958687;16921404;18988627;21071413;22353464;23331499,generic,generic,False,False,Baccin2019;CellChatDB;CellPhoneDB;CellTalkDB;DLRP_talklr;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;KEGG-MEDICUS;LRdb;NetPath;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;STRING_talklr;SignaLink3;UniProt_LRdb;Wang;connectomeDB2020;iTALK;talklr,True,False,post_translational,Q9Y219,Q04721
DLL1,NOTCH2,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,6,13,True,11,Matrisome;iTALK;HGNC;CellPhoneDB;GO_Intercell;ICELLNET;Ramilowski2015;Guide2Pharma;DGIdb;OmniPath,,,protein,protein,False,True,15,5,22,ligand,receptor,False,False,True,True,False,True,Baccin2019:10958687;BioGRID:9244302;CellChatDB:22353464;CellPhoneDB:22353464;CellTalkDB:10958687;HPRD:10958687;LRdb:10958687;NetPath:10958687;SIGNOR:16140393;SIGNOR:23111325;connectomeDB2020:10958687,10958687;16140393;22353464;23111325;9244302,generic,generic,False,False,Baccin2019;BioGRID;CellChatDB;CellPhoneDB;CellTalkDB;DLRP_talklr;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;KEGG-MEDICUS;LRdb;NetPath;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;STRING_talklr;UniProt_LRdb;Wang;connectomeDB2020;iTALK;talklr,True,False,post_translational,O00548,Q04721
