source,target,aspect_intercell_source,aspect_intercell_target,category_intercell_source,category_intercell_target,category_source_intercell_source,category_source_intercell_target,consensus_direction,consensus_inhibition,consensus_score_intercell_source,consensus_score_intercell_target,consensus_stimulation,curation_effort,database_intercell_source,database_intercell_target,dip_url,entity_type_intercell_source,entity_type_intercell_target,is_inhibition,is_stimulation,n_primary_sources,n_references,n_sources,parent_intercell_source,parent_intercell_target,plasma_membrane_peripheral_intercell_source,plasma_membrane_peripheral_intercell_target,plasma_membrane_transmembrane_intercell_source,plasma_membrane_transmembrane_intercell_target,receiver_intercell_source,receiver_intercell_target,references,references_stripped,scope_intercell_source,scope_intercell_target,secreted_intercell_source,secreted_intercell_target,sources,transmitter_intercell_source,transmitter_intercell_target,type,uniprot_intercell_source,uniprot_intercell_target
PDGFA,EPHA3,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,12,11,True,1,,iTALK;Almen2009;CellCellInteractions;EMBRACE;HGNC;CellPhoneDB;GO_Intercell;HPMR;ICELLNET;Surfaceome;Ramilowski2015;LRdb;Baccin2019;SignaLink_function;OmniPath,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,True,SIGNOR,True,False,post_translational,P04085,P29320
PDGFB,EPHA3,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,13,11,True,1,,iTALK;CellCellInteractions;EMBRACE;HGNC;CellPhoneDB;HPMR;Surfaceome;Ramilowski2015;LRdb;Baccin2019;SignaLink_function;OmniPath,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,True,SIGNOR,True,False,post_translational,P01127,P29320
FGF1,EPHA3,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,13,11,True,1,,iTALK;Almen2009;CellCellInteractions;HGNC;CellPhoneDB;GO_Intercell;HPMR;ICELLNET;Surfaceome;Ramilowski2015;Kirouac2010;Guide2Pharma;LRdb;Baccin2019;OmniPath,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,True,SIGNOR,True,False,post_translational,P05230,P29320
FGF10,EPHA3,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,12,11,True,1,,iTALK;CellCellInteractions;HGNC;CellPhoneDB;HPMR;Surfaceome;Ramilowski2015;LRdb;SignaLink_function;OmniPath,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,True,SIGNOR,True,False,post_translational,O15520,P29320
VEGFB,EPHA3,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,14,11,True,1,,Baccin2019;OmniPath,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,True,SIGNOR,True,False,post_translational,P49765,P29320
EFNA1,EPHA3,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,8,11,True,15,,iTALK;Almen2009;CellCellInteractions;EMBRACE;HGNC;HPMR;Surfaceome;Ramilowski2015;LRdb;Baccin2019;OmniPath,,protein,protein,False,True,12,10,19,ligand,receptor,True,False,False,True,False,True,CellChatDB:15114347;CellPhoneDB:15114347;HPRD:8070404;LRdb:11114742;SIGNOR:17306385;SIGNOR:9330863;SIGNOR:9576626;SignaLink3:18988627;SignaLink3:21071413;SignaLink3:23331499;SignaLink3:8070404;SignaLink3:9195962;SignaLink3:9576626;connectomeDB2020:8070404;connectomeDB2020:9330863,11114742;15114347;17306385;18988627;21071413;23331499;8070404;9195962;9330863;9576626,generic,generic,True,True,CellChatDB;CellPhoneDB;CellTalkDB;DLRP_talklr;Fantom5_LRdb;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;SIGNOR;STRING_talklr;SignaLink3;Wang;connectomeDB2020;iTALK;talklr,True,False,post_translational,P20827,P29320
EFNA2,EPHA3,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,6,11,True,7,,iTALK;GO_Intercell;ICELLNET;LRdb;OmniPath,,protein,protein,False,True,11,5,18,ligand,receptor,False,False,False,True,False,True,CellChatDB:15114347;CellPhoneDB:15114347;HPRD:9751130;LRdb:11114742;SIGNOR:17306385;connectomeDB2020:9330863;connectomeDB2020:9751130,11114742;15114347;17306385;9330863;9751130,generic,generic,False,True,CellChatDB;CellPhoneDB;CellTalkDB;DLRP_talklr;Fantom5_LRdb;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;SIGNOR;STRING_talklr;Wang;connectomeDB2020;iTALK;talklr,True,False,post_translational,O43921,P29320
EFNA5,EPHA3,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,8,11,True,22,,iTALK;Almen2009;CellCellInteractions;EMBRACE;HGNC;CellPhoneDB;HPMR;ICELLNET;Surfaceome;Ramilowski2015;Guide2Pharma;LRdb;Baccin2019;SignaLink_function;OmniPath,,protein,protein,False,True,15,12,22,ligand,receptor,True,False,True,True,False,True,BioGRID:9245480;CellChatDB:15114347;CellPhoneDB:15114347;HPMR:9330863;HPRD:9195962;HPRD:9245480;HPRD:9751130;ICELLNET:9530499;LRdb:11114742;SIGNOR:17306385;SIGNOR:9330863;SignaLink3:18988627;SignaLink3:21071413;SignaLink3:23331499;SignaLink3:9195962;SignaLink3:9245480;SignaLink3:9576626;SignaLink3:9751130;connectomeDB2020:9195962;connectomeDB2020:9245480;connectomeDB2020:9330863;connectomeDB2020:9751130,11114742;15114347;17306385;18988627;21071413;23331499;9195962;9245480;9330863;9530499;9576626;9751130,generic,generic,False,True,BioGRID;CellChatDB;CellPhoneDB;CellTalkDB;DLRP_talklr;Fantom5_LRdb;HPMR;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;LRdb;Ramilowski2015;SIGNOR;STRING_talklr;SignaLink3;Wang;connectomeDB2020;iTALK;talklr,True,False,post_translational,P52803,P29320
EFNA4,EPHA3,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,7,11,True,11,,iTALK;Almen2009;CellCellInteractions;EMBRACE;HGNC;CellPhoneDB;HPMR;ICELLNET;Surfaceome;Ramilowski2015;Kirouac2010;Guide2Pharma;LRdb;Baccin2019;SignaLink_function;OmniPath,,protein,protein,False,True,11,8,12,ligand,receptor,True,False,True,True,False,True,CellChatDB:15114347;CellPhoneDB:15114347;ICELLNET:9530499;LRdb:11114742;Ramilowski2015:8755474;SIGNOR:17306385;SignaLink3:23331499;SignaLink3:9195962;SignaLink3:9576626;connectomeDB2020:8755474;talklr:8755474,11114742;15114347;17306385;23331499;8755474;9195962;9530499;9576626,generic,generic,True,True,CellChatDB;CellPhoneDB;CellTalkDB;DLRP_talklr;ICELLNET;LRdb;Ramilowski2015;SIGNOR;SignaLink3;connectomeDB2020;iTALK;talklr,True,False,post_translational,P52798,P29320
EFNB2,EPHA3,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,6,11,True,8,,iTALK;CellCellInteractions;EMBRACE;HGNC;CellPhoneDB;HPMR;Surfaceome;Ramilowski2015;LRdb;Baccin2019;SignaLink_function;OmniPath,,protein,protein,False,True,9,3,13,ligand,receptor,False,False,True,True,False,True,BioGRID:8559144;CellTalkDB:8559144;HPRD:8559144;LRdb:8559144;SignaLink3:23331499;SignaLink3:8559144;SignaLink3:9195962;connectomeDB2020:8559144,23331499;8559144;9195962,generic,generic,False,True,BioGRID;CellTalkDB;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;STRING_talklr;SignaLink3;connectomeDB2020;iTALK;talklr,True,False,post_translational,P52799,P29320
ANGPT2,EPHA3,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,8,11,True,1,,iTALK;CellCellInteractions;EMBRACE;HGNC;CellPhoneDB;GO_Intercell;HPMR;Surfaceome;Ramilowski2015;Kirouac2010;Guide2Pharma;LRdb;Baccin2019;SignaLink_function;OmniPath,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,True,SIGNOR,True,False,post_translational,O15123,P29320
ANGPT1,EPHA3,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,10,11,True,1,,HGNC;SignaLink_function;OmniPath,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,True,SIGNOR,True,False,post_translational,Q15389,P29320
PDGFD,EPHA3,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,10,11,True,1,,iTALK;Almen2009;CellCellInteractions;EMBRACE;HPMR;Surfaceome;Ramilowski2015;Baccin2019;OmniPath,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,True,SIGNOR,True,False,post_translational,Q9GZP0,P29320
BDNF,EPHA3,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,14,11,True,1,,iTALK;Almen2009;CellCellInteractions;HGNC;CellPhoneDB;GO_Intercell;HPMR;ICELLNET;Surfaceome;Ramilowski2015;Kirouac2010;Guide2Pharma;LRdb;OmniPath,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,True,SIGNOR,True,False,post_translational,P23560,P29320
NTF3,EPHA3,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,14,11,True,1,,iTALK;Almen2009;CellCellInteractions;EMBRACE;HGNC;HPMR;Surfaceome;Ramilowski2015;LRdb;Baccin2019;SignaLink_function;OmniPath,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,True,SIGNOR,True,False,post_translational,P20783,P29320
VEGFA,EPHA3,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,14,11,True,1,,iTALK;Almen2009;CellCellInteractions;EMBRACE;HGNC;CellPhoneDB;GO_Intercell;HPMR;Surfaceome;Ramilowski2015;Guide2Pharma;LRdb;Baccin2019;SignaLink_function;OmniPath,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,True,SIGNOR,True,False,post_translational,P15692,P29320
VEGFC,EPHA3,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,14,11,True,1,,iTALK;Almen2009;CellCellInteractions;HGNC;CellPhoneDB;GO_Intercell;HPMR;Surfaceome;Ramilowski2015;LRdb;SignaLink_function;OmniPath,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,True,SIGNOR,True,False,post_translational,P49767,P29320
PGF,EPHA3,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,10,11,True,1,,iTALK;CellCellInteractions;HGNC;HPMR;Surfaceome;Ramilowski2015;LRdb;Baccin2019;SignaLink_function;OmniPath,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,True,SIGNOR,True,False,post_translational,P49763,P29320
FYN,EPHA4,functional,functional,ligand,receptor,resource_specific,resource_specific,False,False,1,14,False,1,Matrisome;iTALK;HGNC;CellPhoneDB;GO_Intercell;ICELLNET;Ramilowski2015;Kirouac2010;Guide2Pharma;LRdb;Baccin2019;OmniPath,iTALK;Almen2009;CellCellInteractions;EMBRACE;HGNC;CellPhoneDB;GO_Intercell;ICELLNET;Surfaceome;Ramilowski2015;Kirouac2010;Guide2Pharma;LRdb;Baccin2019;SignaLink_function;OmniPath,,protein,protein,True,False,2,1,2,ligand,receptor,False,False,False,True,False,True,HPRD:12084815,12084815,generic,generic,False,False,HPRD;Wang,True,False,post_translational,P06241,P54764
FGF3,EPHA4,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,9,14,True,1,Matrisome;iTALK;EMBRACE;CellPhoneDB;GO_Intercell;ICELLNET;Ramilowski2015;DGIdb;LRdb;Baccin2019;SignaLink_function;OmniPath,Almen2009;CellCellInteractions;HGNC;HPMR;Surfaceome;SignaLink_function;OmniPath,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,False,SIGNOR,True,False,post_translational,P11487,P54764
IGF1,EPHA4,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,14,14,True,1,iTALK;EMBRACE;HGNC;CellPhoneDB;GO_Intercell;HPMR;Ramilowski2015;Guide2Pharma;DGIdb;LRdb;Baccin2019;OmniPath,iTALK;Almen2009;CellCellInteractions;EMBRACE;HGNC;CellPhoneDB;GO_Intercell;HPMR;Surfaceome;Ramilowski2015;Kirouac2010;Guide2Pharma;LRdb;Baccin2019;SignaLink_function;OmniPath,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,False,SIGNOR,True,False,post_translational,P05019,P54764
IGF2,EPHA4,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,12,14,True,1,Matrisome;iTALK;EMBRACE;HGNC;CellPhoneDB;GO_Intercell;ICELLNET;Ramilowski2015;Kirouac2010;Guide2Pharma;DGIdb;LRdb;Baccin2019;SignaLink_function;OmniPath,iTALK;CellCellInteractions;HGNC;CellPhoneDB;HPMR;Surfaceome;Ramilowski2015;LRdb;SignaLink_function;OmniPath,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,False,SIGNOR,True,False,post_translational,P01344,P54764
EGF,EPHA4,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,13,14,True,1,,Almen2009;CellCellInteractions;HGNC;HPMR;Surfaceome;SignaLink_function;OmniPath,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,True,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,False,SIGNOR,True,False,post_translational,P01133,P54764
TGFA,EPHA4,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,13,14,True,1,,iTALK;CellCellInteractions;EMBRACE;HGNC;CellPhoneDB;HPMR;Surfaceome;Ramilowski2015;LRdb;Baccin2019;SignaLink_function;OmniPath,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,True,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,False,SIGNOR,True,False,post_translational,P01135,P54764
CSF1,EPHA4,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,13,14,True,1,,iTALK;Almen2009;CellCellInteractions;EMBRACE;HGNC;CellPhoneDB;HPMR;Surfaceome;Ramilowski2015;Kirouac2010;Guide2Pharma;LRdb;Baccin2019;SignaLink_function;OmniPath,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,True,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,False,SIGNOR,True,False,post_translational,P09603,P54764
HGF,EPHA4,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,12,14,True,1,,iTALK;Almen2009;CellCellInteractions;HGNC;CellPhoneDB;HPMR;ICELLNET;Surfaceome;Ramilowski2015;LRdb;SignaLink_function;OmniPath,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,False,SIGNOR,True,False,post_translational,P14210,P54764
PDGFC,EPHA4,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,13,14,True,1,,CellCellInteractions;GO_Intercell;OmniPath,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,False,SIGNOR,True,False,post_translational,Q9NRA1,P54764
PDGFA,EPHA4,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,12,14,True,1,,iTALK;CellCellInteractions;EMBRACE;CellPhoneDB;GO_Intercell;HPMR;Surfaceome;Ramilowski2015;LRdb;OmniPath,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,False,SIGNOR,True,False,post_translational,P04085,P54764
PDGFB,EPHA4,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,13,14,True,1,,iTALK;CellCellInteractions;HGNC;CellPhoneDB;GO_Intercell;HPMR;ICELLNET;Ramilowski2015;Kirouac2010;Guide2Pharma;LRdb;Baccin2019;OmniPath,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,False,SIGNOR,True,False,post_translational,P01127,P54764
FGF1,EPHA4,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,13,14,True,1,,iTALK;Almen2009;CellCellInteractions;EMBRACE;HGNC;CellPhoneDB;GO_Intercell;HPMR;Surfaceome;Ramilowski2015;Kirouac2010;LRdb;Baccin2019;SignaLink_function;OmniPath,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,False,SIGNOR,True,False,post_translational,P05230,P54764
FGF10,EPHA4,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,12,14,True,1,,iTALK;Almen2009;CellCellInteractions;HGNC;GO_Intercell;HPMR;ICELLNET;Surfaceome;Guide2Pharma;OmniPath,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,False,SIGNOR,True,False,post_translational,O15520,P54764
VEGFB,EPHA4,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,14,14,True,1,,iTALK;Almen2009;CellCellInteractions;HGNC;CellPhoneDB;HPMR;Surfaceome;Ramilowski2015;LRdb;Baccin2019;OmniPath,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,False,SIGNOR,True,False,post_translational,P49765,P54764
EFNA1,EPHA4,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,8,14,True,15,,iTALK;CellCellInteractions;EMBRACE;HPMR;Ramilowski2015;LRdb;Baccin2019;OmniPath,http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=102508,protein,protein,False,True,16,9,24,ligand,receptor,True,False,False,True,False,True,Baccin2019:9330863;CellChatDB:15114347;CellPhoneDB:15114347;DIP:19836338;HPRD:8755474;LRdb:11114742;Lit-BM-17:10366629;Lit-BM-17:19836338;SIGNOR:17306385;SIGNOR:9330863;SIGNOR:9576626;SignaLink3:23331499;SignaLink3:9576626;connectomeDB2020:8755474;connectomeDB2020:9330863,10366629;11114742;15114347;17306385;19836338;23331499;8755474;9330863;9576626,generic,generic,True,False,Baccin2019;CellChatDB;CellPhoneDB;CellTalkDB;DIP;DLRP_talklr;EMBRACE;Fantom5_LRdb;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Lit-BM-17;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;STRING_talklr;SignaLink3;Wang;connectomeDB2020;iTALK;talklr,True,False,post_translational,P20827,P54764
EFNA2,EPHA4,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,6,14,True,10,,iTALK;Almen2009;CellCellInteractions;EMBRACE;HGNC;CellPhoneDB;HPMR;Surfaceome;Ramilowski2015;Guide2Pharma;LRdb;Baccin2019;OmniPath,http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=102506,protein,protein,False,True,15,5,21,ligand,receptor,False,False,False,True,False,True,Baccin2019:9330863;CellChatDB:15114347;CellPhoneDB:15114347;DIP:19836338;IntAct:19836338;LRdb:11114742;Lit-BM-17:19836338;SIGNOR:17306385;SIGNOR:9330863;connectomeDB2020:9330863,11114742;15114347;17306385;19836338;9330863,generic,generic,False,False,Baccin2019;CellChatDB;CellPhoneDB;CellTalkDB;DIP;DLRP_talklr;EMBRACE;Fantom5_LRdb;HPMR_LRdb;HPMR_talklr;IntAct;LRdb;Lit-BM-17;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;STRING_talklr;Wang;connectomeDB2020;iTALK;talklr,True,False,post_translational,O43921,P54764
EFNA5,EPHA4,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,8,14,True,18,,Almen2009;CellCellInteractions;HGNC;HPMR;Surfaceome;OmniPath,http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=102510,protein,protein,False,True,17,10,25,ligand,receptor,True,False,True,True,False,True,Baccin2019:9330863;CellChatDB:15114347;CellPhoneDB:15114347;DIP:19836338;DIP:23812375;HPMR:9330863;HPRD:8755474;IntAct:19836338;IntAct:23812375;LRdb:11114742;SIGNOR:17306385;SIGNOR:9330863;SignaLink3:18988627;SignaLink3:23331499;SignaLink3:8755474;SignaLink3:9576626;connectomeDB2020:8755474;connectomeDB2020:9330863,11114742;15114347;17306385;18988627;19836338;23331499;23812375;8755474;9330863;9576626,generic,generic,False,False,Baccin2019;CellChatDB;CellPhoneDB;CellTalkDB;DIP;DLRP_talklr;EMBRACE;Fantom5_LRdb;HPMR;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;IntAct;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;STRING_talklr;SignaLink3;Wang;connectomeDB2020;iTALK;talklr,True,False,post_translational,P52803,P54764
